# TODO: replace with full SIRUTA seed from INS (recensamantromania.ro). Starter only.
siruta_code,name,type,parent_siruta,nuts_code
RO,Romania,country,,RO
RO11,North-West,region,RO,RO11
1026,Bihor,county,RO11,RO111
2719,Bistrita-Nasaud,county,RO11,RO112
4017,Cluj,county,RO11,RO113
11724,Maramures,county,RO11,RO114
14492,Satu Mare,county,RO11,RO115
17387,Salaj,county,RO11,RO116
4324,Floresti,commune,4017,RO113
4030,Cluj-Napoca,city,4017,RO113
4253,Huedin,commune,4017,RO113
1029,Oradea,city,1026,RO111
1031,Beius,commune,1026,RO111
11770,Baia Mare,city,11724,RO114
14495,Satu Mare,city,14492,RO115
17390,Zalau,city,17387,RO116
2722,Bistrita,city,2719,RO112
