# Full canonical SIRUTA seed for NW Romania (NUTS RO11), 2025 data.
# Source: data.gov.ro 'SIRUTA 2025' (XLSX exposed at a .csv URL).
# IMPORTANT: this uses real INS SIRUTA codes which differ from the
# placeholder codes in data/siruta_nw_romania.csv (the demo seed).
# To use this file: update the seed path and the test fixtures that
# hard-code SIRUTA codes (4324='Floresti' etc.) to the canonical codes.
siruta_code,name,type,parent_siruta,nuts_code
RO,Romania,country,,RO
RO11,North-West,region,RO,RO11
56,Bihor,county,RO11,RO111
65,Bistriţa-Năsăud,county,RO11,RO112
127,Cluj,county,RO11,RO113
243,Maramureş,county,RO11,RO114
305,Satu Mare,county,RO11,RO115
314,Sălaj,county,RO11,RO116
26699,Aleşd,city,56,RO111
136848,Ardud,city,305,RO115
106318,Baia Mare,city,243,RO114
106684,Baia Sprie,city,243,RO114
32483,Beclean,city,65,RO112
26804,Beiuş,city,56,RO111
32394,Bistriţa,city,65,RO112
106746,Borşa,city,243,RO114
136526,Carei,city,305,RO115
106782,Cavnic,city,243,RO114
139740,Cehu Silvaniei,city,314,RO116
54975,Cluj-Napoca,city,127,RO113
55357,Câmpia Turzii,city,127,RO113
55008,Dej,city,127,RO113
108017,Dragomireşti,city,243,RO114
55384,Gherla,city,127,RO113
55446,Huedin,city,127,RO113
139811,Jibou,city,314,RO116
138039,Livada,city,305,RO115
26877,Marghita,city,56,RO111
136599,Negreşti-Oaş,city,305,RO115
26920,Nucet,city,56,RO111
32544,Năsăud,city,65,RO112
26564,Oradea,city,56,RO111
26975,Salonta,city,56,RO111
136483,Satu Mare,city,305,RO115
108963,Seini,city,243,RO114
106559,Sighetu Marmaţiei,city,243,RO114
32599,Sângeorz-Băi,city,65,RO112
30915,Săcueni,city,56,RO111
108892,Săliştea De Sus,city,243,RO114
55259,Turda,city,127,RO113
106817,Târgu Lăpuş,city,243,RO114
106461,Tăuţii-Măgherăuş,city,243,RO114
136642,Tăşnad,city,305,RO115
109265,Ulmeni,city,243,RO114
32027,Valea Lui Mihai,city,56,RO111
27007,Vaşcău,city,56,RO111
106979,Vişeu De Sus,city,243,RO114
139704,Zalău,city,314,RO116
139884,Şimleu Silvaniei,city,314,RO116
109176,Şomcuta Mare,city,243,RO114
26840,Ştei,city,56,RO111
27070,Abram,commune,56,RO111
136713,Acâş,commune,305,RO115
55473,Aghireşu,commune,127,RO113
139937,Agrij,commune,314,RO116
179873,Agriş,commune,305,RO115
55598,Aiton,commune,127,RO113
139982,Almaşu,commune,314,RO116
55623,Aluniş,commune,127,RO113
136768,Andrid,commune,305,RO115
136802,Apa,commune,305,RO115
55687,Apahida,commune,127,RO113
107001,Ardusat,commune,243,RO114
107047,Ariniş,commune,243,RO114
107083,Asuaju De Sus,commune,243,RO114
27212,Auşeu,commune,56,RO111
27285,Avram Iancu,commune,56,RO111
55776,Aşchileu,commune,127,RO113
26742,Aştileu,commune,56,RO111
55838,Baciu,commune,127,RO113
27329,Balc,commune,56,RO111
27383,Batăr,commune,56,RO111
